reviewId,userName,userImage,content,score,thumbsUp,appVersion,at,replyContent,repliedAt,scam_related
e0bb0edd-cf59-48b7-8dca-18f2b16c3564,Steve Murphy,https://play-lh.googleusercontent.com/a-/ALV-UjU1ZlbOfBT0xJSzrsTVwmJUG7jdRHhVmLlp3ll-EUQPXVuqFc8,"I was positive to see a new dating app but this one really falls short. Firstly, the photos of other people are horribly cropped - i think the 'crop' function when uploadimg photos ruins them. Secondly, Guessology seems a bright idea but actually is quite inane. Swiping is boring, no innovation here. I tried tinder, happn and bumble, they were okay, so i had a positive mindset to try something new, but im not happy with Smitten and i regret wasting my money on a 1 month subscription",1,0,3.5.14,2025-01-18 10:15:10,,,True
1cbb0664-3dcf-471a-a2d7-89307c938c17,Chaos Pixel Officiel,https://play-lh.googleusercontent.com/a-/ALV-UjXWY2XrG-Nzjd91EiEFjPCkezDnVXZIm1KN3a2cPTcfo7bmDQ5N,This app is the sickest catfish app. 9 of 10 women are Only fans or selling you things or want you to invest in things. Would give 0 out of 5 stars if possible.,1,0,3.5.9,2025-01-02 18:51:25,"Thank you for bringing this to our attention, we take reports like yours very seriously. We’d love to learn more about your experience and see how we can address these concerns. Could you please send us an email at hello@smittendating.com? That way, we can investigate and work toward improving the app for everyone. We appreciate your feedback! ❤️",2025-01-03 15:30:09,False
c54d2849-2592-4708-bada-8343b822d896,James Hopkins,https://play-lh.googleusercontent.com/a/ACg8ocK4OvgWDYDh03jppBR3kcGAZo7ky9IeBIHhuNAJ5HI2PuxUUnk=mo,"Can't add photos when creating my profile. I can select a photo and then there's no button to accept, when I hit the back button there is no picture selected anymore. So I cannot complete my profile",1,0,3.5.9,2024-12-29 15:41:50,"Hey, thanks for letting us know! It sounds like you’re running into a glitch with adding photos. We’re really sorry for the inconvenience. Could you please email us at hello@smittendating.com and let us know which device and app version you’re using? That way, we can investigate further and help you get your profile set up as soon as possible ❤️",2025-01-02 15:35:15,False
faf0c3b7-7a7b-44d1-9a13-67246887985b,Draconic Studios,https://play-lh.googleusercontent.com/a-/ALV-UjVfwuQi-3qG3U5dp9qRQecRWfIz9bECSdeV5_ro2RwTsp4H9EGj,DID NOT EVEN WORK.,1,0,3.5.9,2024-12-29 02:14:21,"Hey there, thanks for letting us know! It sounds like you’re running into a glitch. We’re really sorry for the inconvenience. Could you please email us at hello@smittendating.com and let us know which device and app version you’re using? That way, we can investigate further and help you get your profile set up as soon as possible. Thanks! ❤️",2025-01-02 15:36:19,False
f16eeba1-4a62-4eea-9800-658d83a8ac22,DIAZO DRAGON,https://play-lh.googleusercontent.com/a-/ALV-UjXfeshcNlHHnNeraOerUDZ1vqjgwDGDP1rqbldf5B8DDuNtPe_v,There is no guys with in 30 km of Ellicott Colorado which would also include Colorado Springs therefore your app gets 2*,2,0,3.5.9,2024-12-19 20:15:01,,,False
c52dfc69-d791-44e0-b048-e446d09cdd4c,Josh Christensen,https://play-lh.googleusercontent.com/a-/ALV-UjWH7u8tashNGvB9qXFvnHIZYg6_JnItwtqET1GjWPl4Vj9Ku1k,"I get through the questions to where it wants a photo and the app is broken at this point. It just shows the photo and there's no button to accept. And because you won't let me skip, I'm stuck and can't even get into the app. 0/10 for an awful user experience.",1,4,3.5.8,2024-12-12 03:58:45,"Hi Josh. Thank you for bringing this to our attention. I’m really sorry to hear about the frustrating experience you’ve had with the app. It sounds like a bug at the photo upload step, and I completely understand how this would negatively impact your experience. Could you please send us an email to hello@smittendating.com",2024-12-19 15:05:38,False
e5a7e72b-7a0e-4d19-bb43-877f51b2f89a,Lucas Frykman,https://play-lh.googleusercontent.com/a-/ALV-UjVCyGzpEwWe5Levodn9f9T4_lIQk3Yyaxq6eERI1n7FbQ8l00wA,Really good features but not as good as bumble. Algorithm is pretty annoying since they'll never put who liked you in your queue within less than 50 swipes. The is app is pretty slow too.,4,0,,2024-12-08 02:57:20,,,False
d2030f30-0002-49ba-aaa1-99786ac51d6f,Þórlindur Jóhannsson,https://play-lh.googleusercontent.com/a/ACg8ocKbCGnCV5TJ3gDv1a3NHkCyvs7-NXSnQduD9ff_optAy-gEEA=mo,You can't put your sexual lifestyle in there anymore? That was the biggest reason I used this app. There aren't any good dating apps for the BDSM community so being able to put that in your bio was extremely helpful. Such an asinine decision to get rid of it🤦‍♂️,1,5,3.5.5,2024-11-17 19:55:36,"
Hi Þórlindur,

Thank you for your feedback. We understand how important it is for users to express themselves, and we appreciate you sharing your thoughts. We’ll make sure to pass this along to our team for review as we continue to improve the app.

If there’s anything else you’d like to share, please send us an email to hello@smittendating.com 💗",2024-11-19 16:22:34,False
afa93992-92a5-49d2-b4d1-48520ba9f9b9,Frank Suhr,https://play-lh.googleusercontent.com/a/ACg8ocIqgSvMnKlSHOcTW4edoVd6KjfL61SJY1nX8YDAkOPD898xBA=mo,fantastik,5,0,3.4.94,2024-11-02 17:18:08,,,False
ba410605-73b4-412a-862d-e60b01847300,D. S.,https://play-lh.googleusercontent.com/a/ACg8ocJCbjmrkVT88704S89jlHMXWI6GMXliskI7qZFgLBrc7c98SA=mo,"Novel user interface albeit somewhat limiting. Most (female) members appear to be under 25 and supposedly Scandinavian. Sadly, my own personal experience has proven that 100% of those initiating contact are either selling online content, seeking financial reward or looking for Sugar Daddies. Your mileage may vary... UPDATE: The latest update has enlarged profile photos but slowed down the app significantly.",2,5,3.4.94,2024-10-29 13:01:44,"Thank you for your review. We genuinely appreciate your feedback and understand how encountering profiles that violate our community guidelines can be frustrating and impact your overall experience with our app. We hope to improve on this aspect. Once these improvements are in place, we hope you'll reconsider your rating. 🫶",2024-05-30 12:18:37,False
